# LAMMPS data
12255 atoms
7 atom types
-25.0 25.0  xlo xhi
-25.0 25.0  ylo yhi
-25.0 25.0  zlo zhi
0.0 0.0 0.0 xy xz yz

Masses

1  1.008        # H
2 12.010700     # C
3 14.0067       # N
4 15.999        # O
5 32.06         # S
6 18.998403163  # F
7 35.45         # Cl

Atoms

122	1	3.453	-8.847	-18.115	# H
123	1	3.192	-8.915	-16.625	# H
124	4	-16.642	-18.612	-21.498	# O
125	1	-15.978	-18.09	-21.948	# H
126	1	-17.008	-18.019	-20.841	# H
127	4	-0.611	-15.585	-7.635	# O
128	1	-0.275	-16.478	-7.705	# H
129	1	-0.705	-15.437	-6.694	# H
130	4	-17.202	-11.226	-17.908	# O
131	1	-17.837	-11.487	-17.241	# H
132	1	-16.631	-11.988	-18.007	# H
133	4	-15.91	-22.189	-12.699	# O
134	1	-15.73	-21.733	-13.521	# H
135	1	-15.223	-21.89	-12.102	# H
136	4	-9.145	-11.003	-15.989	# O
137	1	-9.831	-10.43	-16.331	# H
138	1	-9.594	-11.825	-15.792	# H
139	4	-17.347	-7.695	-12.498	# O
140	1	-17.863	-7.102	-11.951	# H
141	1	-17.382	-8.535	-12.04	# H
142	4	-2.541	-21.391	-22.336	# O
143	1	-3.314	-21.421	-22.9	# H
144	1	-2.198	-20.504	-22.447	# H
145	4	-3.767	-4.495	-10.053	# O
146	1	-4.12	-3.958	-9.343	# H
147	1	-3.048	-3.975	-10.413	# H
148	4	-17.788	-16.793	4.852	# O
149	1	-17.636	-16.254	5.628	# H
150	1	-16.931	-16.855	4.431	# H
151	4	-14.586	0.888	1.795	# O
152	1	-14.594	1.287	0.925	# H
153	1	-15.38	1.217	2.217	# H
154	4	-13.804	1.301	-23.442	# O
155	1	-13.745	2.251	-23.34	# H
156	1	-13.357	0.949	-22.673	# H
157	4	-20.309	-21.385	-12.653	# O
158	1	-21.162	-21.046	-12.927	# H
159	1	-19.765	-20.605	-12.546	# H
160	4	-11.849	-12.677	2.058	# O
161	1	-11.422	-12.949	1.245	# H
162	1	-11.134	-12.592	2.688	# H
163	4	-13.63	-4.179	-12.02	# O
164	1	-13.651	-3.41	-12.591	# H
165	1	-12.709	-4.438	-12.001	# H
166	4	-9.425	-20.494	-1.792	# O
167	1	-8.873	-19.853	-2.24	# H
168	1	-9.729	-21.077	-2.487	# H
169	4	-10.463	-5.47	-17.193	# O
170	1	-10.975	-6.035	-16.615	# H
171	1	-11.089	-4.816	-17.505	# H
172	4	-20.079	-10.916	-18.946	# O
173	1	-19.753	-11.715	-18.531	# H
174	1	-20.6	-10.488	-18.267	# H
175	4	-13.054	-20.065	-6.569	# O
176	1	-12.185	-19.679	-6.676	# H
177	1	-13.23	-20.004	-5.63	# H
178	4	-21.996	-1.275	-20.007	# O
179	1	-22.436	-1.865	-19.395	# H
180	1	-21.205	-1.746	-20.269	# H
181	4	-15.605	-18.998	-11.44	# O
182	1	-16.528	-19.175	-11.259	# H
183	1	-15.451	-19.386	-12.301	# H
184	4	-18.537	-5.949	-10.789	# O
185	1	-19.199	-6.04	-10.104	# H
186	1	-17.906	-5.325	-10.431	# H
187	4	-12.269	-20.254	-11.965	# O
188	1	-11.44	-20.72	-12.077	# H
189	1	-12.626	-20.595	-11.144	# H
190	4	-14.077	-9.481	-13.099	# O
191	1	-14.925	-9.888	-13.275	# H
192	1	-14.267	-8.544	-13.044	# H
193	4	-13.718	-16.344	-15.65	# O
194	1	-13.655	-17.053	-15.009	# H
195	1	-14.323	-15.717	-15.256	# H
196	4	-17.619	3.816	-23.32	# O
197	1	-18.315	3.291	-23.715	# H
198	1	-17.709	3.664	-22.379	# H
199	4	-9.306	-6.389	-20.451	# O
200	1	-9.129	-6.393	-21.391	# H
201	1	-8.748	-7.083	-20.099	# H
202	4	-18.989	-24.116	-20.537	# O
203	1	-18.14	-24.525	-20.706	# H
204	1	-18.835	-23.181	-20.669	# H
205	4	-15.584	-16.275	-18.436	# O
206	1	-15.095	-16.541	-17.657	# H
207	1	-14.977	-15.714	-18.919	# H
208	4	-14.028	-6.6	-9.034	# O
209	1	-13.393	-7.113	-9.534	# H
210	1	-14.857	-7.063	-9.151	# H
211	4	-15.923	-14.915	-15.021	# O
212	1	-15.687	-14.675	-14.125	# H
213	1	-16.856	-15.126	-14.975	# H
214	4	-16.333	-1.911	-19.273	# O
215	1	-15.832	-2.293	-18.552	# H
216	1	-15.691	-1.786	-19.972	# H
217	4	-12.805	-21.969	-18.351	# O
218	1	-12.413	-21.489	-17.621	# H
219	1	-12.17	-22.656	-18.556	# H
220	4	-22.232	-14.675	-9.061	# O
